model,top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation
efficientnet_b2a,69.49,30.51,88.68,11.32,9.11,288,1.0,bicubic
inception_v4,69.35,30.65,88.78,11.22,42.68,299,0.875,bicubic
seresnext101_32x4d,69.34,30.66,88.05,11.95,48.96,224,0.875,bilinear
ecaresnetlight,69.33,30.67,89.22,10.78,30.16,224,0.875,bicubic
gluon_resnet152_v1c,69.13,30.87,87.89,12.11,60.21,224,0.875,bicubic
mixnet_xl,69.08,30.92,88.31,11.69,11.9,224,0.875,bicubic
efficientnet_b2,69.0,31.0,88.62,11.38,9.11,260,0.875,bicubic
gluon_resnet101_v1d,68.99,31.01,88.08,11.92,44.57,224,0.875,bicubic
gluon_xception65,68.98,31.02,88.32,11.68,39.92,299,0.875,bicubic
gluon_resnext101_32x4d,68.96,31.04,88.34,11.66,44.18,224,0.875,bicubic
tf_efficientnet_b2_ap,68.93,31.07,88.34,11.66,9.11,260,0.89,bicubic
gluon_resnet152_v1b,68.81,31.19,87.71,12.29,60.19,224,0.875,bicubic
dpn131,68.76,31.24,87.48,12.52,79.25,224,0.875,bicubic
resnext50d_32x4d,68.75,31.25,88.31,11.69,25.05,224,0.875,bicubic
tf_efficientnet_b2,68.75,31.25,87.95,12.05,9.11,260,0.89,bicubic
gluon_resnet101_v1s,68.72,31.28,87.9,12.1,44.67,224,0.875,bicubic
dpn107,68.71,31.29,88.13,11.87,86.92,224,0.875,bicubic
gluon_seresnext50_32x4d,68.67,31.33,88.32,11.68,27.56,224,0.875,bicubic
hrnet_w64,68.63,31.37,88.07,11.93,128.06,224,0.875,bilinear
resnext50_32x4d,68.61,31.39,87.57,12.43,25.03,224,0.875,bicubic
dpn98,68.58,31.42,87.66,12.34,61.57,224,0.875,bicubic
ssl_resnet50,68.42,31.58,88.58,11.42,25.56,224,0.875,bilinear
ecaresnet50d_pruned,68.39,31.61,88.37,11.63,19.94,224,0.875,bicubic
skresnext50_32x4d,68.39,31.61,87.59,12.41,27.48,224,0.875,bicubic
dla102x2,68.34,31.66,87.87,12.13,41.75,224,0.875,bilinear
efficientnet_b2_pruned,68.3,31.7,88.1,11.9,8.31,260,0.89,bicubic
gluon_resnext50_32x4d,68.28,31.72,87.32,12.68,25.03,224,0.875,bicubic
tf_efficientnet_lite3,68.23,31.77,87.72,12.28,8.2,300,0.904,bilinear
ese_vovnet39b,68.19,31.81,88.26,11.74,24.57,224,0.875,bicubic
tf_efficientnet_el,68.18,31.82,88.35,11.65,10.59,300,0.904,bicubic
dpn92,68.01,31.99,87.59,12.41,37.67,224,0.875,bicubic
gluon_resnet50_v1d,67.91,32.09,87.12,12.88,25.58,224,0.875,bicubic
seresnext50_32x4d,67.87,32.13,87.62,12.38,27.56,224,0.875,bilinear
resnext101_32x8d,67.85,32.15,87.48,12.52,88.79,224,0.875,bilinear
hrnet_w44,67.77,32.23,87.53,12.47,67.06,224,0.875,bilinear
hrnet_w48,67.77,32.23,87.42,12.58,77.47,224,0.875,bilinear
tf_efficientnet_b0_ns,67.72,32.28,88.08,11.92,5.29,224,0.875,bicubic
xception,67.67,32.33,87.57,12.43,22.86,299,0.8975,bicubic
dla169,67.61,32.39,87.56,12.44,53.99,224,0.875,bilinear
gluon_inception_v3,67.59,32.41,87.46,12.54,23.83,299,0.875,bicubic
hrnet_w40,67.59,32.41,87.13,12.87,57.56,224,0.875,bilinear
gluon_resnet101_v1c,67.56,32.44,87.16,12.84,44.57,224,0.875,bicubic
seresnet152,67.55,32.45,87.39,12.61,66.82,224,0.875,bilinear
res2net50_26w_8s,67.53,32.47,87.27,12.73,48.4,224,0.875,bilinear
tf_efficientnet_b1_ap,67.52,32.48,87.77,12.23,7.79,240,0.882,bicubic
tf_efficientnet_cc_b1_8e,67.48,32.52,87.31,12.69,39.72,240,0.882,bicubic
gluon_resnet101_v1b,67.45,32.55,87.23,12.77,44.55,224,0.875,bicubic
res2net101_26w_4s,67.45,32.55,87.01,12.99,45.21,224,0.875,bilinear
resnet50,67.44,32.56,87.42,12.58,25.56,224,0.875,bicubic
resnetblur50,67.44,32.56,87.43,12.57,25.56,224,0.875,bicubic
resnest26d,67.21,32.79,87.18,12.82,17.07,224,0.875,bilinear
efficientnet_b1,67.16,32.84,87.15,12.85,7.79,240,0.875,bicubic
seresnet101,67.15,32.85,87.05,12.95,49.33,224,0.875,bilinear
gluon_resnet50_v1s,67.1,32.9,86.86,13.14,25.68,224,0.875,bicubic
dla60x,67.08,32.92,87.17,12.83,17.65,224,0.875,bilinear
dla60_res2net,67.03,32.97,87.14,12.86,21.15,224,0.875,bilinear
resnet152,67.02,32.98,87.57,12.43,60.19,224,0.875,bilinear
dla102x,67.0,33.0,86.77,13.23,26.77,224,0.875,bilinear
mixnet_l,66.97,33.03,86.94,13.06,7.33,224,0.875,bicubic
res2net50_26w_6s,66.91,33.09,86.9,13.1,37.05,224,0.875,bilinear
efficientnet_es,66.89,33.11,86.73,13.27,5.44,224,0.875,bicubic
tf_efficientnet_b1,66.89,33.11,87.04,12.96,7.79,240,0.882,bicubic
tf_efficientnet_em,66.87,33.13,86.98,13.02,6.9,240,0.882,bicubic
hrnet_w32,66.79,33.21,87.29,12.71,41.23,224,0.875,bilinear
tf_mixnet_l,66.78,33.22,86.46,13.54,7.33,224,0.875,bicubic
hrnet_w30,66.76,33.24,86.79,13.21,37.71,224,0.875,bilinear
selecsls60b,66.72,33.28,86.54,13.46,32.77,224,0.875,bicubic
wide_resnet101_2,66.68,33.32,87.04,12.96,126.89,224,0.875,bilinear
wide_resnet50_2,66.65,33.35,86.81,13.19,68.88,224,0.875,bilinear
dla60_res2next,66.64,33.36,87.02,12.98,17.33,224,0.875,bilinear
adv_inception_v3,66.6,33.4,86.56,13.44,23.83,299,0.875,bicubic
dla102,66.55,33.45,86.91,13.09,33.73,224,0.875,bilinear
gluon_resnet50_v1c,66.54,33.46,86.16,13.84,25.58,224,0.875,bicubic
tf_inception_v3,66.42,33.58,86.68,13.32,23.83,299,0.875,bicubic
efficientnet_b0,66.25,33.75,85.95,14.05,5.29,224,0.875,bicubic
seresnet50,66.24,33.76,86.33,13.67,28.09,224,0.875,bilinear
selecsls60,66.22,33.78,86.33,13.67,30.67,224,0.875,bicubic
tf_efficientnet_cc_b0_8e,66.21,33.79,86.22,13.78,24.01,224,0.875,bicubic
tv_resnext50_32x4d,66.18,33.82,86.04,13.96,25.03,224,0.875,bilinear
res2net50_26w_4s,66.17,33.83,86.6,13.4,25.7,224,0.875,bilinear
inception_v3,66.12,33.88,86.34,13.66,23.83,299,0.875,bicubic
efficientnet_b1_pruned,66.08,33.92,86.58,13.42,6.33,240,0.882,bicubic
gluon_resnet50_v1b,66.04,33.96,86.27,13.73,25.56,224,0.875,bicubic
res2net50_14w_8s,66.02,33.98,86.24,13.76,25.06,224,0.875,bilinear
densenet161,65.85,34.15,86.46,13.54,28.68,224,0.875,bicubic
res2next50,65.85,34.15,85.83,14.17,24.67,224,0.875,bilinear
seresnext26tn_32x4d,65.85,34.15,85.68,14.32,16.81,224,0.875,bicubic
skresnet34,65.77,34.23,85.96,14.04,22.28,224,0.875,bicubic
resnet101,65.68,34.32,85.98,14.02,44.55,224,0.875,bilinear
dpn68b,65.6,34.4,85.94,14.06,12.61,224,0.875,bicubic
seresnext26t_32x4d,65.6,34.4,86.09,13.91,16.82,224,0.875,bicubic
selecsls42b,65.59,34.41,85.83,14.17,32.46,224,0.875,bicubic
tf_efficientnet_b0_ap,65.49,34.51,85.55,14.45,5.29,224,0.875,bicubic
seresnext26d_32x4d,65.42,34.58,85.97,14.03,16.81,224,0.875,bicubic
tf_efficientnet_lite2,65.39,34.61,86.03,13.97,6.09,260,0.89,bicubic
res2net50_48w_2s,65.32,34.68,85.96,14.04,25.29,224,0.875,bilinear
densenetblur121d,65.3,34.7,85.71,14.29,8.0,224,0.875,bicubic
densenet201,65.28,34.72,85.67,14.33,20.01,224,0.875,bicubic
tf_efficientnet_es,65.24,34.76,85.54,14.46,5.44,224,0.875,bicubic
dla60,65.22,34.78,85.75,14.25,22.33,224,0.875,bilinear
tf_efficientnet_cc_b0_4e,65.13,34.87,85.13,14.87,13.31,224,0.875,bicubic
mobilenetv2_120d,65.04,34.96,85.99,14.01,5.83,224,0.875,bicubic
seresnext26_32x4d,65.04,34.96,85.65,14.35,16.79,224,0.875,bicubic
hrnet_w18,64.91,35.09,85.75,14.25,21.3,224,0.875,bilinear
densenet169,64.78,35.22,85.25,14.75,14.15,224,0.875,bicubic
mixnet_m,64.69,35.31,85.47,14.53,5.01,224,0.875,bicubic
resnet26d,64.63,35.37,85.12,14.88,16.01,224,0.875,bicubic
tf_efficientnet_lite1,64.37,35.63,85.49,14.51,5.42,240,0.882,bicubic
tf_efficientnet_b0,64.29,35.71,85.25,14.75,5.29,224,0.875,bicubic
tf_mixnet_m,64.27,35.73,85.09,14.91,5.01,224,0.875,bicubic
dpn68,64.22,35.78,85.18,14.82,12.61,224,0.875,bicubic
mobilenetv2_140,64.05,35.95,85.02,14.98,6.11,224,0.875,bicubic
densenet121,63.74,36.26,84.63,15.37,7.98,224,0.875,bicubic
resnest14d,63.6,36.4,84.22,15.78,10.61,224,0.875,bilinear
tf_mixnet_s,63.59,36.41,84.27,15.73,4.13,224,0.875,bicubic
resnet26,63.45,36.55,84.27,15.73,16.0,224,0.875,bicubic
mixnet_s,63.38,36.62,84.71,15.29,4.13,224,0.875,bicubic
mobilenetv3_large_100,63.36,36.64,84.08,15.92,5.48,224,0.875,bicubic
tv_resnet50,63.33,36.67,84.65,15.35,25.56,224,0.875,bilinear
mobilenetv3_rw,63.23,36.77,84.52,15.48,5.48,224,0.875,bicubic
semnasnet_100,63.12,36.88,84.53,15.47,3.89,224,0.875,bicubic
tv_densenet121,62.94,37.06,84.26,15.74,7.98,224,0.875,bicubic
seresnet34,62.89,37.11,84.22,15.78,21.96,224,0.875,bilinear
hrnet_w18_small_v2,62.83,37.17,83.97,16.03,15.6,224,0.875,bilinear
mobilenetv2_110d,62.82,37.18,84.48,15.52,4.52,224,0.875,bicubic
resnet34,62.82,37.18,84.12,15.88,21.8,224,0.875,bilinear
swsl_resnet18,62.73,37.27,84.3,15.7,11.69,224,0.875,bilinear
tf_efficientnet_lite0,62.58,37.42,84.25,15.75,4.65,224,0.875,bicubic
gluon_resnet34_v1b,62.56,37.44,84.0,16.0,21.8,224,0.875,bicubic
dla34,62.51,37.49,83.92,16.08,15.78,224,0.875,bilinear
tf_mobilenetv3_large_100,62.47,37.53,83.96,16.04,5.48,224,0.875,bilinear
fbnetc_100,62.43,37.57,83.39,16.61,5.57,224,0.875,bilinear
mnasnet_100,61.91,38.09,83.71,16.29,4.38,224,0.875,bicubic
ssl_resnet18,61.49,38.51,83.33,16.67,11.69,224,0.875,bilinear
spnasnet_100,61.21,38.79,82.77,17.23,4.42,224,0.875,bilinear
tv_resnet34,61.2,38.8,82.72,17.28,21.8,224,0.875,bilinear
skresnet18,60.85,39.15,82.88,17.12,11.96,224,0.875,bicubic
tf_mobilenetv3_large_075,60.38,39.62,81.96,18.04,3.99,224,0.875,bilinear
mobilenetv2_100,60.16,39.84,82.24,17.76,3.5,224,0.875,bicubic
seresnet18,59.81,40.19,81.68,18.32,11.78,224,0.875,bicubic
tf_mobilenetv3_large_minimal_100,59.07,40.93,81.14,18.86,3.92,224,0.875,bilinear
hrnet_w18_small,58.97,41.03,81.34,18.66,13.19,224,0.875,bilinear
gluon_resnet18_v1b,58.32,41.68,80.96,19.04,11.69,224,0.875,bicubic
resnet18,57.18,42.82,80.19,19.81,11.69,224,0.875,bilinear
dla60x_c,56.02,43.98,78.96,21.04,1.34,224,0.875,bilinear
tf_mobilenetv3_small_100,54.51,45.49,77.08,22.92,2.54,224,0.875,bilinear
dla46x_c,53.08,46.92,76.84,23.16,1.08,224,0.875,bilinear
dla46_c,52.2,47.8,75.68,24.32,1.31,224,0.875,bilinear
tf_mobilenetv3_small_075,52.15,47.85,75.46,24.54,2.04,224,0.875,bilinear
tf_mobilenetv3_small_minimal_100,49.53,50.47,73.05,26.95,2.04,224,0.875,bilinear
