model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,336,98.350,1.650,99.770,0.230,304.53,1.000,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,224,98.300,1.700,99.780,0.220,632.05,1.000,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,98.280,1.720,99.770,0.230,200.13,1.000,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,336,98.270,1.730,99.770,0.230,304.53,1.000,bicubic
convformer_b36.sail_in22k_ft_in1k_384,384,98.260,1.740,99.820,0.180,99.88,1.000,bicubic
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,384,98.260,1.740,99.780,0.220,116.09,1.000,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,98.260,1.740,99.760,0.240,200.13,1.000,bicubic
convnext_large.fb_in22k_ft_in1k_384,384,98.260,1.740,99.750,0.250,197.77,1.000,bicubic
vit_large_patch16_384.augreg_in21k_ft_in1k,384,98.250,1.750,99.800,0.200,304.72,1.000,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,224,98.230,1.770,99.720,0.280,304.20,1.000,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,336,98.220,1.780,99.720,0.280,304.53,1.000,bicubic
seresnextaa201d_32x8d.sw_in12k_ft_in1k_384,384,98.200,1.800,99.780,0.220,149.39,1.000,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,384,98.190,1.810,99.660,0.340,86.86,0.950,bicubic
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,98.180,1.820,99.770,0.230,116.14,1.000,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,224,98.170,1.830,99.760,0.240,304.43,0.900,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,224,98.170,1.830,99.750,0.250,304.37,1.000,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,224,98.170,1.830,99.730,0.270,632.13,1.000,bicubic
caformer_b36.sail_in22k_ft_in1k,224,98.160,1.840,99.770,0.230,98.75,1.000,bicubic
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,384,98.160,1.840,99.710,0.290,196.74,1.000,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,224,98.160,1.840,99.670,0.330,304.20,1.000,bicubic
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,384,98.140,1.860,99.780,0.220,87.92,1.000,bicubic
caformer_m36.sail_in22k_ft_in1k_384,384,98.140,1.860,99.750,0.250,56.20,1.000,bicubic
convnext_large.fb_in22k_ft_in1k,288,98.130,1.870,99.750,0.250,197.77,1.000,bicubic
convnext_xlarge.fb_in22k_ft_in1k,288,98.120,1.880,99.770,0.230,350.20,1.000,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,288,98.110,1.890,99.770,0.230,197.96,1.000,bicubic
convnext_base.fb_in22k_ft_in1k_384,384,98.100,1.900,99.650,0.350,88.59,1.000,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,98.080,1.920,99.760,0.240,304.20,1.000,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,98.070,1.930,99.700,0.300,73.88,1.000,bicubic
regnety_320.swag_ft_in1k,384,98.060,1.940,99.860,0.140,145.05,1.000,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,288,98.060,1.940,99.750,0.250,88.72,1.000,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,384,98.050,1.950,99.750,0.250,88.59,1.000,bicubic
convformer_m36.sail_in22k_ft_in1k_384,384,98.040,1.960,99.690,0.310,57.05,1.000,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,224,98.030,1.970,99.730,0.270,632.05,1.000,bicubic
swin_large_patch4_window12_384.ms_in22k_ft_in1k,384,98.020,1.980,99.690,0.310,196.74,1.000,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,98.010,1.990,99.660,0.340,86.86,1.000,bicubic
convnext_large.fb_in22k_ft_in1k,224,98.010,1.990,99.640,0.360,197.77,1.000,bicubic
caformer_s36.sail_in22k_ft_in1k_384,384,97.990,2.010,99.720,0.280,39.30,1.000,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,288,97.980,2.020,99.710,0.290,93.59,1.000,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,97.980,2.020,99.700,0.300,200.13,1.000,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,224,97.980,2.020,99.690,0.310,88.72,1.000,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,224,97.960,2.040,99.750,0.250,197.96,1.000,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,320,97.960,2.040,99.700,0.300,93.59,1.000,bicubic
convformer_b36.sail_in22k_ft_in1k,224,97.950,2.050,99.760,0.240,99.88,1.000,bicubic
hiera_huge_224.mae_in1k_ft_in1k,224,97.950,2.050,99.620,0.380,672.78,0.900,bicubic
nextvit_large.bd_ssld_6m_in1k_384,384,97.940,2.060,99.790,0.210,57.87,1.000,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,288,97.940,2.060,99.670,0.330,93.59,1.000,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,97.920,2.080,99.660,0.340,304.43,0.950,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,224,97.910,2.090,99.650,0.350,304.20,1.000,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,512,97.910,2.090,99.600,0.400,208.12,1.000,bicubic
convnext_xlarge.fb_in22k_ft_in1k,224,97.900,2.100,99.730,0.270,350.20,1.000,bicubic
convnextv2_huge.fcmae_ft_in1k,288,97.900,2.100,99.680,0.320,660.29,1.000,bicubic
tiny_vit_21m_512.dist_in22k_ft_in1k,512,97.900,2.100,99.630,0.370,21.27,1.000,bicubic
tf_efficientnet_b7.ns_jft_in1k,600,97.890,2.110,99.710,0.290,66.35,0.949,bicubic
nextvit_base.bd_ssld_6m_in1k_384,384,97.880,2.120,99.760,0.240,44.82,1.000,bicubic
swin_base_patch4_window12_384.ms_in22k_ft_in1k,384,97.870,2.130,99.710,0.290,87.90,1.000,bicubic
convnext_base.fb_in22k_ft_in1k,288,97.850,2.150,99.670,0.330,88.59,1.000,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,384,97.850,2.150,99.670,0.330,329.09,1.000,bicubic
convformer_s36.sail_in22k_ft_in1k_384,384,97.850,2.150,99.640,0.360,40.01,1.000,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,384,97.840,2.160,99.680,0.320,86.88,1.000,bicubic
caformer_m36.sail_in22k_ft_in1k,224,97.840,2.160,99.670,0.330,56.20,1.000,bicubic
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,256,97.840,2.160,99.670,0.330,196.74,0.900,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,480,97.830,2.170,99.760,0.240,118.52,1.000,bicubic
beit_base_patch16_384.in22k_ft_in22k_in1k,384,97.830,2.170,99.700,0.300,86.74,1.000,bicubic
vit_base_patch16_384.augreg_in21k_ft_in1k,384,97.830,2.170,99.670,0.330,86.86,1.000,bicubic
maxvit_large_tf_512.in1k,512,97.830,2.170,99.560,0.440,212.33,1.000,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,288,97.810,2.190,99.690,0.310,75.26,1.000,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,288,97.810,2.190,99.690,0.310,75.26,1.000,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,480,97.810,2.190,99.610,0.390,54.14,1.000,bicubic
convnext_small.in12k_ft_in1k_384,384,97.800,2.200,99.660,0.340,50.22,1.000,bicubic
maxvit_base_tf_512.in1k,512,97.800,2.200,99.610,0.390,119.88,1.000,bicubic
regnety_160.swag_ft_in1k,384,97.790,2.210,99.760,0.240,83.59,1.000,bicubic
volo_d5_512.sail_in1k,512,97.790,2.210,99.670,0.330,296.09,1.150,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,97.790,2.210,99.650,0.350,116.14,0.950,bicubic
nextvit_small.bd_ssld_6m_in1k_384,384,97.780,2.220,99.710,0.290,31.76,1.000,bicubic
dm_nfnet_f5.dm_in1k,544,97.780,2.220,99.590,0.410,377.21,0.954,bicubic
dm_nfnet_f6.dm_in1k,576,97.770,2.230,99.650,0.350,438.36,0.956,bicubic
maxvit_small_tf_512.in1k,512,97.760,2.240,99.550,0.450,69.13,1.000,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,97.750,2.250,99.710,0.290,116.09,0.950,bicubic
volo_d5_448.sail_in1k,448,97.750,2.250,99.620,0.380,295.91,1.150,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,384,97.740,2.260,99.630,0.370,86.86,1.000,bicubic
vit_base_patch8_224.augreg2_in21k_ft_in1k,224,97.720,2.280,99.640,0.360,86.58,0.900,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,224,97.720,2.280,99.620,0.380,93.59,1.000,bicubic
dm_nfnet_f6.dm_in1k,448,97.710,2.290,99.600,0.400,438.36,0.956,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,97.700,2.300,99.680,0.320,86.53,0.900,bicubic
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,256,97.680,2.320,99.720,0.280,87.92,0.900,bicubic
volo_d4_448.sail_in1k,448,97.680,2.320,99.610,0.390,193.41,1.150,bicubic
rdnet_large.nv_in1k_ft_in1k_384,384,97.670,2.330,99.550,0.450,186.27,1.000,bicubic
regnety_1280.swag_lc_in1k,224,97.660,2.340,99.640,0.360,644.81,0.965,bicubic
convnextv2_large.fcmae_ft_in1k,288,97.660,2.340,99.600,0.400,197.96,1.000,bicubic
convnextv2_huge.fcmae_ft_in1k,224,97.650,2.350,99.570,0.430,660.29,1.000,bicubic
swin_large_patch4_window7_224.ms_in22k_ft_in1k,224,97.650,2.350,99.570,0.430,196.53,0.900,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,97.640,2.360,99.570,0.430,73.88,0.950,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,97.630,2.370,99.620,0.380,64.11,0.950,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,224,97.630,2.370,99.590,0.410,304.33,0.900,bicubic
dm_nfnet_f4.dm_in1k,512,97.630,2.370,99.540,0.460,316.07,0.951,bicubic
convnext_small.fb_in22k_ft_in1k_384,384,97.620,2.380,99.600,0.400,50.22,1.000,bicubic
tf_efficientnet_b6.ns_jft_in1k,528,97.620,2.380,99.590,0.410,43.04,0.942,bicubic
caformer_s36.sail_in22k_ft_in1k,224,97.610,2.390,99.610,0.390,39.30,1.000,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,384,97.610,2.390,99.590,0.410,21.23,1.000,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,384,97.610,2.390,99.550,0.450,88.59,1.000,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,256,97.600,2.400,99.720,0.280,88.59,1.000,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,224,97.600,2.400,99.670,0.330,86.58,0.900,bicubic
efficientvit_l3.r384_in1k,384,97.600,2.400,99.510,0.490,246.04,1.000,bicubic
convformer_m36.sail_in22k_ft_in1k,224,97.590,2.410,99.620,0.380,57.05,1.000,bicubic
maxvit_base_tf_384.in1k,384,97.590,2.410,99.590,0.410,119.65,1.000,bicubic
maxvit_large_tf_384.in1k,384,97.590,2.410,99.520,0.480,212.03,1.000,bicubic
maxvit_tiny_tf_512.in1k,512,97.580,2.420,99.560,0.440,31.05,1.000,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,224,97.570,2.430,99.630,0.370,75.26,1.000,bicubic
volo_d3_448.sail_in1k,448,97.550,2.450,99.550,0.450,86.63,1.000,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,384,97.540,2.460,99.670,0.330,86.86,1.000,bicubic
convformer_b36.sail_in1k_384,384,97.540,2.460,99.520,0.480,99.88,1.000,bicubic
vit_base_patch16_clip_224.openai_ft_in12k_in1k,224,97.540,2.460,99.500,0.500,86.57,0.950,bicubic
xcit_large_24_p16_384.fb_dist_in1k,384,97.540,2.460,99.480,0.520,189.10,1.000,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,224,97.530,2.470,99.630,0.370,75.26,1.000,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,224,97.530,2.470,99.610,0.390,73.87,0.950,bicubic
xcit_large_24_p8_384.fb_dist_in1k,384,97.530,2.470,99.540,0.460,188.93,1.000,bicubic
tf_efficientnetv2_l.in1k,480,97.520,2.480,99.550,0.450,118.52,1.000,bicubic
tf_efficientnet_b5.ns_jft_in1k,456,97.500,2.500,99.640,0.360,30.39,0.934,bicubic
caformer_b36.sail_in1k_384,384,97.500,2.500,99.580,0.420,98.75,1.000,bicubic
convnextv2_large.fcmae_ft_in1k,224,97.490,2.510,99.600,0.400,197.96,1.000,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,224,97.490,2.510,99.600,0.400,86.59,1.000,bicubic
regnety_160.sw_in12k_ft_in1k,288,97.490,2.510,99.590,0.410,83.59,1.000,bicubic
cait_m48_448.fb_dist_in1k,448,97.490,2.510,99.570,0.430,356.46,1.000,bicubic
dm_nfnet_f3.dm_in1k,416,97.480,2.520,99.560,0.440,254.92,0.940,bicubic
resnetv2_152x4_bit.goog_in21k_ft_in1k,480,97.470,2.530,99.640,0.360,936.53,1.000,bilinear
convnext_base.fb_in22k_ft_in1k,224,97.470,2.530,99.620,0.380,88.59,1.000,bicubic
dm_nfnet_f5.dm_in1k,416,97.470,2.530,99.520,0.480,377.21,0.954,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,384,97.450,2.550,99.640,0.360,118.52,1.000,bicubic
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,384,97.450,2.550,99.640,0.360,39.03,0.950,bicubic
regnety_160.lion_in12k_ft_in1k,288,97.450,2.550,99.620,0.380,83.59,1.000,bicubic
caformer_m36.sail_in1k_384,384,97.450,2.550,99.600,0.400,56.20,1.000,bicubic
caformer_s18.sail_in22k_ft_in1k_384,384,97.450,2.550,99.590,0.410,26.34,1.000,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,97.450,2.550,99.540,0.460,86.57,0.950,bicubic
hiera_large_224.mae_in1k_ft_in1k,224,97.440,2.560,99.460,0.540,213.74,0.900,bicubic
deit3_large_patch16_384.fb_in1k,384,97.430,2.570,99.620,0.380,304.76,1.000,bicubic
hgnet_base.ssld_in1k,288,97.420,2.580,99.620,0.380,71.58,1.000,bicubic
flexivit_large.1200ep_in1k,240,97.420,2.580,99.600,0.400,304.36,0.950,bicubic
caformer_s36.sail_in1k_384,384,97.400,2.600,99.540,0.460,39.30,1.000,bicubic
cait_m36_384.fb_dist_in1k,384,97.400,2.600,99.510,0.490,271.22,1.000,bicubic
maxvit_small_tf_384.in1k,384,97.400,2.600,99.500,0.500,69.02,1.000,bicubic
convformer_m36.sail_in1k_384,384,97.400,2.600,99.470,0.530,57.05,1.000,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,384,97.400,2.600,99.380,0.620,208.12,1.000,bicubic
efficientnet_b5.sw_in12k_ft_in1k,448,97.390,2.610,99.550,0.450,30.39,1.000,bicubic
efficientvit_l3.r320_in1k,320,97.390,2.610,99.390,0.610,246.04,1.000,bicubic
resnext101_32x32d.fb_wsl_ig1b_ft_in1k,224,97.380,2.620,99.680,0.320,468.53,0.875,bilinear
nextvit_large.bd_ssld_6m_in1k,224,97.380,2.620,99.670,0.330,57.87,0.950,bicubic
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,384,97.380,2.620,99.500,0.500,88.30,1.000,bicubic
hgnetv2_b5.ssld_stage2_ft_in1k,288,97.370,2.630,99.670,0.330,39.57,1.000,bicubic
volo_d5_224.sail_in1k,224,97.360,2.640,99.570,0.430,295.46,0.960,bicubic
convnext_small.in12k_ft_in1k,224,97.360,2.640,99.560,0.440,50.22,1.000,bicubic
efficientvit_l2.r384_in1k,384,97.360,2.640,99.440,0.560,63.71,1.000,bicubic
cait_s36_384.fb_dist_in1k,384,97.350,2.650,99.530,0.470,68.37,1.000,bicubic
convnext_small.fb_in22k_ft_in1k,288,97.350,2.650,99.530,0.470,50.22,1.000,bicubic
dm_nfnet_f4.dm_in1k,384,97.350,2.650,99.490,0.510,316.07,0.951,bicubic
convnext_small.in12k_ft_in1k,288,97.340,2.660,99.580,0.420,50.22,1.000,bicubic
vit_betwixt_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,97.340,2.660,99.490,0.510,60.40,0.950,bicubic
convnext_tiny.in12k_ft_in1k_384,384,97.330,2.670,99.600,0.400,28.59,1.000,bicubic
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,448,97.330,2.670,99.470,0.530,88.34,1.000,bicubic
volo_d2_384.sail_in1k,384,97.320,2.680,99.600,0.400,58.87,1.000,bicubic
maxvit_tiny_tf_384.in1k,384,97.310,2.690,99.500,0.500,30.98,1.000,bicubic
xcit_medium_24_p16_384.fb_dist_in1k,384,97.310,2.690,99.460,0.540,84.40,1.000,bicubic
volo_d4_224.sail_in1k,224,97.300,2.700,99.530,0.470,192.96,0.960,bicubic
xcit_medium_24_p8_384.fb_dist_in1k,384,97.300,2.700,99.510,0.490,84.32,1.000,bicubic
hgnetv2_b5.ssld_stage1_in22k_in1k,288,97.280,2.720,99.660,0.340,39.57,1.000,bicubic
nextvit_base.bd_ssld_6m_in1k,224,97.280,2.720,99.660,0.340,44.82,0.950,bicubic
xcit_small_24_p8_384.fb_dist_in1k,384,97.280,2.720,99.600,0.400,47.63,1.000,bicubic
flexivit_large.600ep_in1k,240,97.280,2.720,99.590,0.410,304.36,0.950,bicubic
convformer_s18.sail_in22k_ft_in1k_384,384,97.280,2.720,99.550,0.450,26.77,1.000,bicubic
swin_base_patch4_window7_224.ms_in22k_ft_in1k,224,97.280,2.720,99.520,0.480,87.77,0.900,bicubic
tf_efficientnetv2_l.in1k,384,97.280,2.720,99.500,0.500,118.52,1.000,bicubic
convformer_s36.sail_in1k_384,384,97.280,2.720,99.430,0.570,40.01,1.000,bicubic
convnext_base.clip_laion2b_augreg_ft_in1k,256,97.270,2.730,99.560,0.440,88.59,1.000,bicubic
regnety_120.sw_in12k_ft_in1k,288,97.270,2.730,99.540,0.460,51.82,1.000,bicubic
inception_next_base.sail_in1k_384,384,97.270,2.730,99.500,0.500,86.67,1.000,bicubic
flexivit_large.300ep_in1k,240,97.250,2.750,99.490,0.510,304.36,0.950,bicubic
convnextv2_base.fcmae_ft_in1k,288,97.240,2.760,99.550,0.450,88.72,1.000,bicubic
convnextv2_tiny.fcmae_ft_in22k_in1k_384,384,97.240,2.760,99.540,0.460,28.64,1.000,bicubic
regnety_2560.seer_ft_in1k,384,97.240,2.760,99.510,0.490,"1,282.60",1.000,bicubic
tf_efficientnetv2_m.in1k,480,97.230,2.770,99.530,0.470,54.14,1.000,bicubic
xcit_small_12_p8_384.fb_dist_in1k,384,97.230,2.770,99.480,0.520,26.21,1.000,bicubic
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,224,97.220,2.780,99.590,0.410,88.79,0.875,bilinear
regnetz_e8.ra3_in1k,320,97.220,2.780,99.500,0.500,57.70,1.000,bicubic
tf_efficientnet_b8.ra_in1k,672,97.210,2.790,99.500,0.500,87.41,0.954,bicubic
tf_efficientnet_b7.ap_in1k,600,97.200,2.800,99.540,0.460,66.35,0.949,bicubic
tiny_vit_21m_224.dist_in22k_ft_in1k,224,97.200,2.800,99.490,0.510,21.20,0.950,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,384,97.200,2.800,99.470,0.530,54.14,1.000,bicubic
convnext_small.fb_in22k_ft_in1k,224,97.200,2.800,99.460,0.540,50.22,1.000,bicubic
dm_nfnet_f3.dm_in1k,320,97.190,2.810,99.540,0.460,254.92,0.940,bicubic
vit_base_patch16_224.augreg2_in21k_ft_in1k,224,97.190,2.810,99.540,0.460,86.57,0.900,bicubic
mobilenetv4_conv_aa_large.e230_r384_in12k_ft_in1k,480,97.180,2.820,99.560,0.440,32.59,1.000,bicubic
vit_base_r50_s16_384.orig_in21k_ft_in1k,384,97.180,2.820,99.560,0.440,98.95,1.000,bicubic
mobilenetv4_conv_aa_large.e230_r448_in12k_ft_in1k,544,97.170,2.830,99.580,0.420,32.59,1.000,bicubic
beitv2_base_patch16_224.in1k_ft_in1k,224,97.170,2.830,99.460,0.540,86.53,0.900,bicubic
vit_medium_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,97.170,2.830,99.390,0.610,38.88,0.950,bicubic
hgnet_base.ssld_in1k,224,97.160,2.840,99.560,0.440,71.58,1.000,bicubic
eva02_small_patch14_336.mim_in22k_ft_in1k,336,97.160,2.840,99.460,0.540,22.13,1.000,bicubic
regnety_320.swag_lc_in1k,224,97.150,2.850,99.670,0.330,145.05,0.965,bicubic
coat_lite_medium_384.in1k,384,97.150,2.850,99.450,0.550,44.57,1.000,bicubic
regnety_120.sw_in12k_ft_in1k,224,97.150,2.850,99.420,0.580,51.82,1.000,bicubic
regnety_160.lion_in12k_ft_in1k,224,97.140,2.860,99.490,0.510,83.59,1.000,bicubic
tf_efficientnet_b8.ap_in1k,672,97.130,2.870,99.660,0.340,87.41,0.954,bicubic
deit3_small_patch16_384.fb_in22k_ft_in1k,384,97.130,2.870,99.500,0.500,22.21,1.000,bicubic
xcit_small_24_p16_384.fb_dist_in1k,384,97.130,2.870,99.440,0.560,47.67,1.000,bicubic
vit_base_patch16_clip_224.laion2b_ft_in1k,224,97.120,2.880,99.460,0.540,86.57,1.000,bicubic
regnety_160.sw_in12k_ft_in1k,224,97.110,2.890,99.560,0.440,83.59,1.000,bicubic
dm_nfnet_f2.dm_in1k,352,97.110,2.890,99.510,0.490,193.78,0.920,bicubic
vit_base_patch32_clip_384.openai_ft_in12k_in1k,384,97.110,2.890,99.510,0.490,88.30,0.950,bicubic
convnext_tiny.fb_in22k_ft_in1k_384,384,97.110,2.890,99.500,0.500,28.59,1.000,bicubic
tf_efficientnet_b6.ap_in1k,528,97.100,2.900,99.610,0.390,43.04,0.942,bicubic
convnext_tiny.in12k_ft_in1k,288,97.100,2.900,99.520,0.480,28.59,1.000,bicubic
volo_d3_224.sail_in1k,224,97.100,2.900,99.460,0.540,86.33,0.960,bicubic
vit_base_patch16_clip_224.openai_ft_in1k,224,97.090,2.910,99.480,0.520,86.57,0.900,bicubic
ecaresnet269d.ra2_in1k,352,97.090,2.910,99.460,0.540,102.09,1.000,bicubic
convnext_large.fb_in1k,288,97.090,2.910,99.450,0.550,197.77,1.000,bicubic
convformer_s36.sail_in22k_ft_in1k,224,97.080,2.920,99.550,0.450,40.01,1.000,bicubic
eca_nfnet_l2.ra3_in1k,384,97.080,2.920,99.510,0.490,56.72,1.000,bicubic
caformer_s18.sail_in1k_384,384,97.080,2.920,99.430,0.570,26.34,1.000,bicubic
cait_s24_384.fb_dist_in1k,384,97.070,2.930,99.410,0.590,47.06,1.000,bicubic
dm_nfnet_f1.dm_in1k,320,97.070,2.930,99.390,0.610,132.63,0.910,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,224,97.060,2.940,99.610,0.390,86.53,0.900,bicubic
